Latitude,Longitude
34.01173611,-118.4938472
34.03465278,-118.4774444
34.01541667,-118.4995556
34.02881945,-118.5088056
34.01825,-118.5009861
34.01252778,-118.4906389
34.01879167,-118.4905833
34.01219444,-118.4938889
34.04481944,-118.496125
34.01947222,-118.4694444
33.99976389,-118.48075
34.00620833,-118.4837639
34.01394444,-118.4940833
34.03402778,-118.4798611
34.01054167,-118.4953194
34.03940278,-118.4732222
34.03451389,-118.4647083
34.02404167,-118.5003889
34.02461111,-118.5028889
34.02230556,-118.5057222
34.02018056,-118.5066111
34.03572222,-118.4745
34.01919444,-118.4699722
34.03161111,-118.4763611
34.01986111,-118.5062083
34.01554167,-118.4978056
34.02680556,-118.4953333
34.007625,-118.4914444
34.02719444,-118.5012917
34.01193056,-118.4677083
34.01908333,-118.4918194
34.03305556,-118.4810833
34.02586111,-118.4997361
34.01918056,-118.4965417
34.01252778,-118.4974167
34.024875,-118.4580556
34.02194444,-118.4555833
34.02163889,-118.5049444
34.01437504,-118.5024306
34.009,-118.4881389
34.01631945,-118.4968611
34.01727778,-118.4585
34.03434722,-118.4794722
34.02086112,-118.5103472
34.01493056,-118.4779583
34.01419445,-118.49625
34.00094444,-118.4825278
34.00845833,-118.4695139
34.00933333,-118.4974167
34.02205556,-118.4687083
34.01694445,-118.5024722
34.01631945,-118.4968611
34.03402778,-118.47175
34.03827778,-118.4681528
,
34.02044445,-118.47225
34.02597222,-118.4833194
34.02244445,-118.4893056
34.01554167,-118.4978056
34.02548611,-118.4693611
34.00918056,-118.4825694
34.01165278,-118.4923333
34.00890278,-118.4942639
34.029875,-118.5101667
34.02109722,-118.4877222
34.019375,-118.4930833
34.01073611,-118.4846528
34.01165278,-118.4923333
34.009,-118.4881389
34.01195833,-118.4835278
34.01631945,-118.4968611
34.018125,-118.4962222
34.01631945,-118.4968611
34.03380556,-118.4834583
34.01956945,-118.489625
34.01813889,-118.4897778
34.01565278,-118.4755417
34.01141667,-118.4948611
34.00368056,-118.4852917
34.00241668,-118.489625
34.00241668,-118.489625
34.01631945,-118.4968611
34.01011111,-118.4964722
34.01165278,-118.4923333
34.01011111,-118.4964722
34.02719444,-118.5012917
34.01734722,-118.4734167
34.02644444,-118.5161944
34.00526389,-118.4755
34.03151389,-118.494375
34.02169445,-118.4736944
34.02577778,-118.4867639
34.01631945,-118.4968611
33.99926389,-118.4808472
34.02773611,-118.4645
34.01775,-118.4902639
34.0195,-118.5043333
,
